2026-01-20 15:33:09,548 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:35:20,265 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:38:47,525 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:40:42,602 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:44:03,779 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:48:06,754 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:49:37,039 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:51:28,046 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:52:13,677 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:52:52,498 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:53:41,023 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 15:56:37,937 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 16:06:05,376 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 16:11:40,550 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
2026-01-20 16:17:29,018 | INFO | config_loader | Configuration loaded | exchange=kraken | symbols=['xbt', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link', 'ltc'] | start_date=2026-01-06 | end_date=now
