2026-02-04 17:56:38,893 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:56:38,904 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:56:38,945 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:56:38,946 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:56:38,946 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:56:38,947 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:56:53,972 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:56:53,983 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 17:56:53,986 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:56:53,995 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:56:54,001 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:56:54,061 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:56:54,062 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:56:54,074 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:56:54,074 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:56:54,075 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:56:54,075 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:56:54,076 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:56:54,077 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:57:09,817 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:57:09,822 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:57:09,861 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:57:09,866 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:57:09,866 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:57:09,866 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:57:09,866 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:57:09,867 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:57:09,867 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:57:26,689 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:57:26,696 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:57:26,698 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:57:26,701 | WARNING | signals_combiner | No signal function found for ULTOSC
2026-02-04 17:57:26,704 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:57:26,716 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:57:26,717 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:57:26,722 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:57:26,723 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:57:26,723 | WARNING | signals_combiner | No signal function found for SUB
