2026-02-18 10:56:23,766 | INFO | model_main | Training classifier: extra_trees for ada
2026-02-18 10:56:25,644 | INFO | model_main | Training classifier: adaboost for ada
2026-02-18 10:56:26,888 | INFO | model_main | Training classifier: gradient_boost for ada
2026-02-18 10:56:32,220 | INFO | model_main | Training classifier: mlp for ada
2026-02-18 10:56:32,986 | INFO | model_main | Training classifier: lda for ada
2026-02-18 10:56:33,029 | INFO | model_main | Training classifier: qda for ada
2026-02-18 10:56:33,078 | INFO | model_main | Training classifier: xgboost for ada
2026-02-18 10:56:35,230 | INFO | model_main | Training classifier: lightgbm for ada
2026-02-18 10:56:36,542 | INFO | model_main | Training classifier: catboost for ada
2026-02-18 10:56:40,965 | INFO | model_main | Model training complete for ada.
2026-02-18 10:56:40,965 | INFO | model_main | Fetching data for xrp from database...
2026-02-18 10:56:55,941 | INFO | model_main | Generating indicators for xrp...
2026-02-18 10:56:55,952 | INFO | model_main | Indicator ADX failed: ADX() takes at least 3 positional arguments (1 given)
2026-02-18 10:56:55,952 | INFO | model_main | Indicator CCI failed: CCI() takes at least 3 positional arguments (1 given)
2026-02-18 10:56:55,952 | INFO | model_main | Indicator ATR failed: ATR() takes at least 3 positional arguments (1 given)
2026-02-18 10:56:55,952 | INFO | model_main | Creating target for xrp...
2026-02-18 10:56:55,963 | INFO | model_main | Preparing dataset for xrp...
2026-02-18 10:56:55,969 | INFO | model_main | Training classifier: logistic for xrp
2026-02-18 10:56:56,007 | INFO | model_main | Training classifier: ridge for xrp
2026-02-18 10:56:56,041 | INFO | model_main | Training classifier: perceptron for xrp
2026-02-18 10:56:56,084 | INFO | model_main | Training classifier: knn for xrp
2026-02-18 10:56:56,317 | INFO | model_main | Training classifier: gaussian_nb for xrp
2026-02-18 10:56:56,356 | INFO | model_main | Skipping multinomial_nb because features contain negative values
2026-02-18 10:56:56,358 | INFO | model_main | Training classifier: bernoulli_nb for xrp
2026-02-18 10:56:56,397 | INFO | model_main | Training classifier: svc for xrp
2026-02-18 10:57:01,080 | INFO | model_main | Training classifier: linear_svc for xrp
2026-02-18 10:57:01,108 | INFO | model_main | Training classifier: decision_tree for xrp
2026-02-18 10:57:01,527 | INFO | model_main | Training classifier: extra_tree for xrp
2026-02-18 10:57:01,562 | INFO | model_main | Training classifier: random_forest for xrp
2026-02-18 10:57:05,771 | INFO | model_main | Training classifier: extra_trees for xrp
2026-02-18 10:57:07,383 | INFO | model_main | Training classifier: adaboost for xrp
2026-02-18 10:57:08,540 | INFO | model_main | Training classifier: gradient_boost for xrp
2026-02-18 10:57:13,737 | INFO | model_main | Training classifier: mlp for xrp
2026-02-18 10:57:14,967 | INFO | model_main | Training classifier: lda for xrp
2026-02-18 10:57:15,007 | INFO | model_main | Training classifier: qda for xrp
2026-02-18 10:57:15,045 | INFO | model_main | Training classifier: xgboost for xrp
2026-02-18 10:57:16,765 | INFO | model_main | Training classifier: lightgbm for xrp
2026-02-18 10:57:17,933 | INFO | model_main | Training classifier: catboost for xrp
2026-02-18 10:57:22,999 | INFO | model_main | Model training complete for xrp.
2026-02-18 10:57:22,999 | INFO | model_main | Fetching data for doge from database...
2026-02-18 17:47:54,268 | INFO | model_main | Config loaded | symbols=['btc', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link'] | timehorizon=1h
2026-02-18 17:48:16,398 | INFO | model_main | Config loaded | symbols=['btc', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link'] | timehorizon=1h
2026-02-18 17:48:16,398 | INFO | model_main | Fetching data for btc from database...
2026-02-18 17:48:56,654 | INFO | model_main | Config loaded | symbols=['btc', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link'] | timehorizon=1h
2026-02-18 17:48:56,654 | INFO | model_main | Fetching data for btc from database...
2026-02-18 17:49:08,742 | INFO | model_main | Generating indicators for btc...
2026-02-18 17:49:08,754 | INFO | model_main | Indicator ADX failed: ADX() takes at least 3 positional arguments (1 given)
2026-02-18 17:49:08,754 | INFO | model_main | Indicator CCI failed: CCI() takes at least 3 positional arguments (1 given)
2026-02-18 17:49:08,764 | INFO | model_main | Indicator ATR failed: ATR() takes at least 3 positional arguments (1 given)
2026-02-18 17:51:07,557 | INFO | model_main | Config loaded | symbols=['btc', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link'] | timehorizon=1h
2026-02-18 17:51:07,558 | INFO | model_main | Fetching data for btc from database...
2026-02-18 17:51:19,173 | INFO | model_main | Generating indicators for btc...
2026-02-18 17:51:19,197 | INFO | model_main | Training classifier: random_forest for btc
2026-02-18 17:51:19,294 | ERROR | model_main | Classifier random_forest failed for btc: Invalid comparison between dtype=datetime64[ns, UTC] and NoneType
2026-02-18 17:51:19,295 | INFO | model_main | Training classifier: xgboost for btc
2026-02-18 17:51:19,375 | ERROR | model_main | Classifier xgboost failed for btc: Invalid comparison between dtype=datetime64[ns, UTC] and NoneType
2026-02-18 18:00:14,142 | INFO | model_main | Config loaded | symbols=['btc', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link'] | timehorizon=1h
2026-02-18 18:00:14,142 | INFO | model_main | Fetching data for btc from database...
2026-02-18 18:00:24,666 | INFO | model_main | Generating indicators for btc...
2026-02-18 18:00:24,703 | INFO | model_main | Training classifier: random_forest for btc
2026-02-18 18:00:24,821 | ERROR | model_main | Classifier random_forest failed for btc: Invalid comparison between dtype=datetime64[ns, UTC] and NoneType
2026-02-18 18:00:24,822 | INFO | model_main | Training classifier: xgboost for btc
2026-02-18 18:00:24,912 | ERROR | model_main | Classifier xgboost failed for btc: Invalid comparison between dtype=datetime64[ns, UTC] and NoneType
2026-02-18 18:03:22,539 | INFO | model_main | Config loaded | symbols=['btc', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link'] | timehorizon=1h
2026-02-18 18:03:22,541 | INFO | model_main | Fetching data for btc from database...
2026-02-18 18:03:37,098 | INFO | model_main | Generating indicators for btc...
2026-02-18 18:03:37,138 | INFO | model_main | Training classifier: random_forest for btc
2026-02-18 18:03:52,353 | INFO | model_main | Training classifier: xgboost for btc
2026-02-19 10:07:05,982 | INFO | model_main | Config loaded | symbols=['btc', 'eth', 'bnb', 'ada', 'xrp', 'doge', 'sol', 'dot', 'matic', 'link'] | timehorizon=1h
2026-02-19 10:07:05,982 | INFO | model_main | Fetching data for btc from database...
2026-02-19 10:07:24,501 | INFO | model_main | Generating indicators for btc...
2026-02-19 10:07:24,525 | INFO | model_main | Training classifier: random_forest for btc
2026-02-19 10:07:36,497 | INFO | model_main | Training classifier: xgboost for btc
2026-02-19 10:07:39,882 | INFO | model_main | Training regressor: random_forest for btc
2026-02-19 10:10:18,728 | INFO | model_main | Training regressor: xgboost for btc
2026-02-19 10:10:21,281 | INFO | model_main | Model training complete for btc.
2026-02-19 10:10:21,282 | INFO | model_main | Fetching data for eth from database...
2026-02-19 10:10:36,510 | INFO | model_main | Generating indicators for eth...
2026-02-19 10:10:36,528 | INFO | model_main | Training classifier: random_forest for eth
2026-02-19 10:10:52,003 | INFO | model_main | Training classifier: xgboost for eth
2026-02-19 10:10:55,206 | INFO | model_main | Training regressor: random_forest for eth
2026-02-19 10:42:32,599 | INFO | model_main | Config loaded | symbols=['btc'] | timehorizon=1h
2026-02-19 10:42:32,601 | INFO | model_main | Fetching data for btc from database...
2026-02-19 10:42:49,686 | INFO | model_main | Generating indicators for btc...
2026-02-19 10:42:49,712 | INFO | model_main | Training classifier: random_forest for btc
2026-02-19 10:43:01,716 | ERROR | model_main | Classifier random_forest failed for btc: All arrays must be of the same length
2026-02-19 10:43:01,716 | INFO | model_main | Training classifier: xgboost for btc
2026-02-19 10:43:04,913 | ERROR | model_main | Classifier xgboost failed for btc: All arrays must be of the same length
2026-02-19 10:54:16,725 | INFO | model_main | Config loaded | symbols=['btc'] | timehorizon=1h
2026-02-19 10:54:16,725 | INFO | model_main | Fetching data for btc from database...
2026-02-19 10:54:26,267 | INFO | model_main | Generating indicators for btc...
2026-02-19 10:54:26,287 | INFO | model_main | Training classifier: random_forest for btc
2026-02-19 10:54:38,378 | ERROR | model_main | Classifier random_forest failed for btc: too many values to unpack (expected 2)
2026-02-19 10:54:38,383 | INFO | model_main | Training classifier: xgboost for btc
2026-02-19 10:54:41,326 | ERROR | model_main | Classifier xgboost failed for btc: too many values to unpack (expected 2)
