2026-02-05 09:41:25,640 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:41:32,885 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:41:40,614 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:41:49,065 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:41:56,678 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:42:04,264 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:42:11,583 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:42:19,709 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:42:27,183 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:42:35,558 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:42:43,520 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:42:51,287 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:43:14,160 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:43:41,333 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:44:06,440 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:44:31,454 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:44:55,407 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:45:22,391 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:45:46,539 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:46:12,305 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:46:35,499 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:46:57,111 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:47:20,106 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:47:43,250 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:48:05,535 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:48:28,112 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:48:50,772 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:49:13,720 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:49:37,644 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:50:00,857 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:50:26,293 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:50:51,994 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:51:16,298 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:51:38,201 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:52:00,628 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:52:22,386 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:52:43,947 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:53:07,884 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:53:32,044 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:53:54,567 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:54:17,379 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:54:43,303 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:55:10,873 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:55:38,222 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:56:07,937 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:56:34,892 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:57:02,472 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:57:30,493 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:57:58,041 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:58:29,329 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:58:59,780 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:59:24,526 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 09:59:46,641 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
2026-02-05 10:00:08,657 | INFO | backtest_class | Found 70158 valid intervals out of 70294 predictions
