2026-02-11 09:59:49,485 | INFO | execution_binance_main |     linearreg_angle: True
2026-02-11 09:59:49,485 | INFO | execution_binance_main |     linearreg_slope: True
2026-02-11 09:59:49,486 | INFO | execution_binance_main |     var: True
2026-02-11 09:59:49,487 | INFO | execution_binance_main |     cdl2crows: True
2026-02-11 09:59:49,487 | INFO | execution_binance_main |     cdl3blackcrows: True
2026-02-11 09:59:49,488 | INFO | execution_binance_main |     cdl3inside: True
2026-02-11 09:59:49,489 | INFO | execution_binance_main |     cdl3linestrike: True
2026-02-11 09:59:49,490 | INFO | execution_binance_main |     cdl3outside: True
2026-02-11 09:59:49,491 | INFO | execution_binance_main |     cdl3whitesoldiers: True
2026-02-11 09:59:49,491 | INFO | execution_binance_main |     cdlabandonedbaby: True
2026-02-11 09:59:49,491 | INFO | execution_binance_main |     cdladvanceblock: True
2026-02-11 09:59:49,492 | INFO | execution_binance_main |     cdlbelthold: True
2026-02-11 09:59:49,492 | INFO | execution_binance_main |     cdlclosingmarubozu: True
2026-02-11 09:59:49,492 | INFO | execution_binance_main |     cdlconcealbabyswall: True
2026-02-11 09:59:49,494 | INFO | execution_binance_main |     cdldarkcloudcover: True
2026-02-11 09:59:49,494 | INFO | execution_binance_main |     cdldoji: True
2026-02-11 09:59:49,494 | INFO | execution_binance_main |     cdleveningstar: True
2026-02-11 09:59:49,494 | INFO | execution_binance_main |     cdlgravestonedoji: True
2026-02-11 09:59:49,494 | INFO | execution_binance_main |     cdlhammer: True
2026-02-11 09:59:49,494 | INFO | execution_binance_main |     cdlharamicross: True
2026-02-11 09:59:49,496 | INFO | execution_binance_main |     cdlidentical3crows: True
2026-02-11 09:59:49,497 | INFO | execution_binance_main |     cdlinvertedhammer: True
2026-02-11 09:59:49,497 | INFO | execution_binance_main |     cdlkicking: True
2026-02-11 09:59:49,498 | INFO | execution_binance_main |     cdllongleggeddoji: True
2026-02-11 09:59:49,498 | INFO | execution_binance_main |     cdlmatchinglow: True
2026-02-11 09:59:49,498 | INFO | execution_binance_main |     cdlmathold: True
2026-02-11 09:59:49,499 | INFO | execution_binance_main |     cdlmorningdojistar: True
2026-02-11 09:59:49,499 | INFO | execution_binance_main |     cdlonneck: True
2026-02-11 09:59:49,499 | INFO | execution_binance_main |     cdlpiercing: True
2026-02-11 09:59:49,499 | INFO | execution_binance_main |     cdlrickshawman: True
2026-02-11 09:59:49,501 | INFO | execution_binance_main |     cdlshootingstar: True
2026-02-11 09:59:49,501 | INFO | execution_binance_main |     cdlspinningtop: True
2026-02-11 09:59:49,502 | INFO | execution_binance_main |     cdlstalledpattern: True
2026-02-11 09:59:49,502 | INFO | execution_binance_main |     cdltakuri: True
2026-02-11 09:59:49,503 | INFO | execution_binance_main |     cdltasukigap: True
2026-02-11 09:59:49,503 | INFO | execution_binance_main |     cdlthrusting: True
2026-02-11 09:59:49,504 | INFO | execution_binance_main |     cdltristar: True
2026-02-11 09:59:49,504 | INFO | execution_binance_main |     cdlunique3river: True
2026-02-11 09:59:49,506 | INFO | execution_binance_main |     cdlupsidegap2crows: True
2026-02-11 09:59:49,507 | INFO | execution_binance_main |     midpoint_period: 14
2026-02-11 09:59:49,507 | INFO | execution_binance_main |     midprice_period: 14
2026-02-11 09:59:49,507 | INFO | execution_binance_main |     wma_period: 30
2026-02-11 09:59:49,508 | INFO | execution_binance_main |     aroonosc_period: 14
2026-02-11 09:59:49,508 | INFO | execution_binance_main |     plus_di_period: 14
2026-02-11 09:59:49,508 | INFO | execution_binance_main |     adosc_fastperiod: 3
2026-02-11 09:59:49,510 | INFO | execution_binance_main |     adosc_slowperiod: 10
2026-02-11 09:59:49,510 | INFO | execution_binance_main |     linearreg_slope_period: 14
2026-02-11 09:59:49,510 | INFO | execution_binance_main |     var_period: 5
2026-02-11 09:59:49,511 | INFO | execution_binance_main |     bbands_period: 5
2026-02-11 09:59:49,512 | INFO | execution_binance_main |     dema_period: 30
2026-02-11 09:59:49,512 | INFO | execution_binance_main |     kama_period: 10
2026-02-11 09:59:49,512 | INFO | execution_binance_main |     sma_period: 30
2026-02-11 09:59:49,513 | INFO | execution_binance_main |     tema_period: 30
2026-02-11 09:59:49,513 | INFO | execution_binance_main |     adxr_period: 14
2026-02-11 09:59:49,513 | INFO | execution_binance_main |     apo_period: 12
