2026-03-13 14:26:15,785 | INFO | randomforest_regressor | [trial 5] Chunk 2/5 PnL: 56.1400
2026-03-13 14:26:19,096 | INFO | randomforest_regressor | [trial 5] Chunk 3/5 PnL: 12.6600
2026-03-13 14:26:19,100 | INFO | randomforest_regressor | [trial 6] Params: {'n_estimators': 534, 'max_depth': 3, 'learning_rate': 0.22408567047239702, 'subsample': 0.6611374649136487, 'colsample_bytree': 0.8371385355282036, 'gamma': 3.93639701085233, 'reg_alpha': 4.071635240629796, 'reg_lambda': 0.2941240721996563, 'objective': 'reg:squarederror', 'tree_method': 'hist', 'n_jobs': 1, 'random_state': 42}
2026-03-13 14:26:28,707 | INFO | randomforest_regressor | [trial 6] Chunk 1/5 PnL: -5.6600
2026-03-13 14:26:31,608 | INFO | randomforest_regressor | [trial 6] Chunk 2/5 PnL: 105.6000
2026-03-13 14:26:34,750 | INFO | randomforest_regressor | [trial 6] Chunk 3/5 PnL: 111.5800
2026-03-13 14:26:37,615 | INFO | randomforest_regressor | [trial 6] Chunk 4/5 PnL: 153.9400
2026-03-13 14:26:41,475 | INFO | randomforest_regressor | [trial 6] Chunk 5/5 PnL: 182.8900
2026-03-13 14:26:41,648 | INFO | randomforest_regressor | [trial 7] Params: {'n_estimators': 161, 'max_depth': 5, 'learning_rate': 0.1734962800235916, 'subsample': 0.8660182344222627, 'colsample_bytree': 0.8029372527238673, 'gamma': 3.593321159903997, 'reg_alpha': 0.11597953045177023, 'reg_lambda': 4.867826594780397, 'objective': 'reg:squarederror', 'tree_method': 'hist', 'n_jobs': 1, 'random_state': 42}
2026-03-13 14:26:48,317 | INFO | randomforest_regressor | [trial 7] Chunk 1/5 PnL: -27.9700
2026-03-13 14:26:51,622 | INFO | randomforest_regressor | [trial 7] Chunk 2/5 PnL: 70.9200
2026-03-13 14:26:54,553 | INFO | randomforest_regressor | [trial 7] Chunk 3/5 PnL: 81.6900
2026-03-13 14:26:54,558 | INFO | randomforest_regressor | [trial 8] Params: {'n_estimators': 220, 'max_depth': 8, 'learning_rate': 0.24926836797355226, 'subsample': 0.7010963852287018, 'colsample_bytree': 0.9582656761207793, 'gamma': 4.205404173181181, 'reg_alpha': 2.207589961482693, 'reg_lambda': 4.477815985774972, 'objective': 'reg:squarederror', 'tree_method': 'hist', 'n_jobs': 1, 'random_state': 42}
2026-03-13 14:27:15,398 | INFO | randomforest_regressor | [trial 8] Chunk 1/5 PnL: -21.6200
2026-03-13 14:27:18,310 | INFO | randomforest_regressor | [trial 8] Chunk 2/5 PnL: 6.4500
2026-03-13 14:27:18,313 | INFO | randomforest_regressor | [trial 9] Params: {'n_estimators': 674, 'max_depth': 10, 'learning_rate': 0.1527734098380135, 'subsample': 0.7774321813644045, 'colsample_bytree': 0.8706579142517761, 'gamma': 0.03328761646775147, 'reg_alpha': 4.693042851996135, 'reg_lambda': 3.165530371540761, 'objective': 'reg:squarederror', 'tree_method': 'hist', 'n_jobs': 1, 'random_state': 42}
2026-03-13 14:29:33,360 | INFO | randomforest_regressor | [trial 9] Chunk 1/5 PnL: -9.1500
2026-03-13 14:29:36,795 | INFO | randomforest_regressor | [trial 9] Chunk 2/5 PnL: 72.4600
2026-03-13 14:29:39,613 | INFO | randomforest_regressor | [trial 9] Chunk 3/5 PnL: 28.0600
2026-03-13 14:29:39,626 | INFO | randomforest_regressor | [train] Best Optuna parameters: {'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.05500831431908479, 'subsample': 0.5415653563674756, 'colsample_bytree': 0.67167236087266, 'gamma': 0.27537990762539766, 'reg_alpha': 0.837475789831722, 'reg_lambda': 0.48056831817122725}
2026-03-13 14:29:39,628 | INFO | randomforest_regressor | [train] Best trial PnL: 244.2000
2026-03-13 14:30:39,332 | INFO | randomforest_regressor | [train] Final predictions — min: 67391.9453, max: 115244.3047, mean: 102547.5547
2026-03-16 13:23:04,823 | INFO | randomforest_regressor | [train] DataFrame shape after log-diff transform & dropna: (27330, 145)
2026-03-16 13:23:04,887 | INFO | randomforest_regressor | [train] Train rows: 21799 | Test rows: 5531 | Features: 143
2026-03-16 13:23:04,899 | INFO | randomforest_regressor | [train] NaNs in X_train: 0 | X_test: 0
2026-03-16 13:23:04,905 | INFO | randomforest_regressor | [train] NaNs in y_train: 0 | y_test: 0
2026-03-16 13:23:04,905 | INFO | randomforest_regressor | [train] Starting Optuna study (10 trials)...
2026-03-16 13:23:04,907 | INFO | randomforest_regressor | [trial 0] Params: {'n_estimators': 737, 'max_depth': 10, 'min_samples_split': 14, 'min_samples_leaf': 20, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'absolute_error'}
2026-03-16 13:23:04,915 | INFO | randomforest_regressor | [trial 0] Fitting model on 21799 rows...
2026-03-16 13:23:04,939 | INFO | randomforest_regressor | [trial 2] Params: {'n_estimators': 285, 'max_depth': 8, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': True, 'criterion': 'squared_error'}
2026-03-16 13:23:04,940 | INFO | randomforest_regressor | [trial 2] Fitting model on 21799 rows...
2026-03-16 13:23:04,940 | INFO | randomforest_regressor | [trial 1] Params: {'n_estimators': 415, 'max_depth': 8, 'min_samples_split': 15, 'min_samples_leaf': 16, 'max_features': 'log2', 'bootstrap': True, 'criterion': 'squared_error'}
2026-03-16 13:23:04,940 | INFO | randomforest_regressor | [trial 3] Params: {'n_estimators': 555, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 11, 'max_features': None, 'bootstrap': False, 'criterion': 'absolute_error'}
2026-03-16 13:23:04,948 | INFO | randomforest_regressor | [trial 1] Fitting model on 21799 rows...
2026-03-16 13:23:04,998 | INFO | randomforest_regressor | [trial 3] Fitting model on 21799 rows...
2026-03-16 13:24:13,171 | INFO | randomforest_regressor | [trial 1] Fit done. Running backtest chunks...
2026-03-16 13:24:19,122 | INFO | randomforest_regressor | [trial 1] Chunk 1/5 PnL: 78.4600
2026-03-16 13:24:24,263 | INFO | randomforest_regressor | [trial 1] Chunk 2/5 PnL: 20.7700
2026-03-16 13:24:31,300 | INFO | randomforest_regressor | [trial 1] Chunk 3/5 PnL: 144.2300
2026-03-16 13:24:38,597 | INFO | randomforest_regressor | [trial 1] Chunk 4/5 PnL: 163.7700
2026-03-16 13:24:44,305 | INFO | randomforest_regressor | [trial 1] Chunk 5/5 PnL: 204.6600
2026-03-16 13:24:44,769 | INFO | randomforest_regressor | [trial 4] Params: {'n_estimators': 176, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False, 'criterion': 'squared_error'}
2026-03-16 13:24:44,769 | INFO | randomforest_regressor | [trial 4] Fitting model on 21799 rows...
2026-03-16 13:25:46,302 | INFO | randomforest_regressor | [trial 4] Fit done. Running backtest chunks...
2026-03-16 13:25:52,175 | INFO | randomforest_regressor | [trial 4] Chunk 1/5 PnL: 74.3400
2026-03-16 13:25:58,957 | INFO | randomforest_regressor | [trial 4] Chunk 2/5 PnL: 10.5200
2026-03-16 13:26:04,673 | INFO | randomforest_regressor | [trial 4] Chunk 3/5 PnL: 119.3200
2026-03-16 13:26:11,724 | INFO | randomforest_regressor | [trial 4] Chunk 4/5 PnL: 147.9100
2026-03-16 13:26:18,171 | INFO | randomforest_regressor | [trial 4] Chunk 5/5 PnL: 174.5200
