2026-01-23 12:09:18,042 | INFO | metatrader5_fetcher | ✔ Enabled symbol: LTCUSD
2026-01-23 12:09:18,043 | INFO | metatrader5_fetcher | ✔ Enabled symbol: MATICUSD
2026-01-23 12:09:18,043 | INFO | metatrader5_fetcher | ✔ Enabled symbol: NETH25
2026-01-23 12:09:18,043 | INFO | metatrader5_fetcher | ✔ Enabled symbol: SOLUSD
2026-01-23 12:09:18,044 | INFO | metatrader5_fetcher | ✔ Enabled symbol: XLMUSD
2026-01-23 12:11:32,305 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-10 00:00:00 to 2026-01-11 00:00:00
2026-01-23 12:11:32,306 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-11 00:00:00 to 2026-01-12 00:00:00
2026-01-23 12:11:32,306 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-12 00:00:00 to 2026-01-13 00:00:00
2026-01-23 12:11:32,306 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-13 00:00:00 to 2026-01-14 00:00:00
2026-01-23 12:11:32,307 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-14 00:00:00 to 2026-01-15 00:00:00
2026-01-23 12:11:32,307 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-15 00:00:00 to 2026-01-16 00:00:00
2026-01-23 12:11:32,308 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-16 00:00:00 to 2026-01-17 00:00:00
2026-01-23 12:11:32,308 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-17 00:00:00 to 2026-01-18 00:00:00
2026-01-23 12:11:32,309 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-18 00:00:00 to 2026-01-19 00:00:00
2026-01-23 12:11:32,309 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-19 00:00:00 to 2026-01-20 00:00:00
2026-01-23 12:11:32,309 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-20 00:00:00 to 2026-01-21 00:00:00
2026-01-23 12:11:32,310 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-21 00:00:00 to 2026-01-22 00:00:00
2026-01-23 12:11:32,310 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-22 00:00:00 to 2026-01-23 00:00:00
2026-01-23 12:11:32,311 | WARNING | metatrader5_fetcher | ⚠ No data for EOSUSD from 2026-01-23 00:00:00 to 2026-01-23 12:09:18.037886
2026-01-23 12:13:02,815 | WARNING | metatrader5_fetcher | ⚠ No data for NETH25 from 2026-01-11 00:00:00 to 2026-01-12 00:00:00
2026-01-23 12:13:02,828 | WARNING | metatrader5_fetcher | ⚠ No data for NETH25 from 2026-01-18 00:00:00 to 2026-01-19 00:00:00
2026-01-23 12:15:45,093 | INFO | metatrader5_fetcher | ✔ Enabled symbol: ADAUSD
2026-01-23 12:15:45,095 | INFO | metatrader5_fetcher | ✔ Enabled symbol: AVAXUSD
2026-01-23 12:15:45,095 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BCHUSD
2026-01-23 12:15:45,095 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BNBUSD
2026-01-23 12:15:45,096 | INFO | metatrader5_fetcher | ✔ Enabled symbol: BTCUSD
2026-01-23 12:15:45,096 | INFO | metatrader5_fetcher | ✔ Enabled symbol: DOGEUSD
