2026-02-19 15:36:19,435 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 15:36:25,738 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 15:39:38,847 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 15:39:44,021 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-20 10:04:45,278 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 10:04:48,625 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 10:09:29,908 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 10:09:34,813 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 10:24:32,559 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 10:24:41,006 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 10:35:58,204 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 10:36:02,012 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 10:52:00,192 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 10:52:08,163 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 10:58:47,513 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 10:58:53,118 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:02:38,101 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:02:44,835 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:10:51,170 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:10:55,097 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:14:30,993 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:14:35,719 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:16:39,918 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:16:44,048 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:18:36,397 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:18:39,669 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:24:35,339 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:24:39,917 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:28:42,257 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:28:45,543 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:30:32,608 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:30:37,108 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:35:39,359 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:35:43,927 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:53:44,384 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:53:48,944 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:58:16,476 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:58:20,036 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 11:59:23,649 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 11:59:27,468 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 12:17:32,536 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 12:17:38,573 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 13:44:58,315 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 13:45:05,216 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 13:50:53,906 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 13:50:59,453 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 13:53:48,852 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-20 13:53:55,433 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-20 14:04:02,344 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-20 14:04:08,991 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 10:19:13,222 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 10:19:19,467 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 10:35:07,844 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 10:35:12,584 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 11:01:24,672 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 11:01:29,876 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 11:09:55,163 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 11:10:03,019 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 11:26:26,129 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 11:26:30,014 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 11:34:04,726 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 11:34:11,368 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 11:44:03,371 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 11:44:16,038 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 11:58:07,520 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 11:58:19,986 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 12:06:06,502 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 12:06:19,990 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 12:13:11,083 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 12:13:25,228 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 12:24:02,921 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 12:24:16,605 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 12:48:20,886 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 12:48:32,710 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 13:03:49,918 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 13:04:01,304 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 13:22:40,515 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 13:22:54,140 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 13:28:24,946 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 13:28:33,535 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 13:33:41,645 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 13:33:54,765 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 14:48:58,898 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 14:49:13,717 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 15:26:27,233 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-23 15:26:40,345 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-23 15:30:21,316 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 15:30:29,224 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-23 15:33:46,503 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-23 15:34:00,328 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-23 15:37:57,411 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-23 15:38:06,287 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
