timestamp,entryprice,exitprice,tp/sl,direction,pnl
2024-05-22 22:00:00+00:00,69530.3,68834.997,SL,buy,-695.3029999999999
2024-05-24 17:00:00+00:00,68448.2,69132.682,SL,sell,-684.4820000000036
2024-05-26 15:00:00+00:00,69367.6,68673.924,SL,buy,-693.6760000000068
2024-05-27 14:00:00+00:00,68990.1,69680.001,SL,sell,-689.900999999998
2024-05-29 15:00:00+00:00,67623.0,68181.7,,buy,558.6999999999971
2024-05-30 13:00:00+00:00,68181.7,68863.51699999999,SL,sell,-681.8169999999955
2024-05-31 14:00:00+00:00,67952.9,67273.371,SL,buy,-679.528999999995
2024-06-02 00:00:00+00:00,67789.4,67775.9,,sell,13.5
2024-06-02 09:00:00+00:00,67775.9,67583.0,,buy,-192.89999999999418
2024-06-02 11:00:00+00:00,67583.0,68258.83,SL,sell,-675.8300000000017
2024-06-06 19:00:00+00:00,71094.5,70383.555,SL,buy,-710.945000000007
2024-06-07 11:00:00+00:00,71414.3,72128.443,SL,sell,-714.1429999999964
2024-06-07 17:00:00+00:00,70808.5,70100.415,SL,buy,-708.0850000000064
2024-06-09 12:00:00+00:00,69385.1,69413.3,,sell,-28.19999999999709
2024-06-10 07:00:00+00:00,69413.3,69664.5,,buy,251.1999999999971
2024-06-10 15:00:00+00:00,69664.5,69438.9,,sell,225.60000000000582
2024-06-11 01:00:00+00:00,69438.9,68744.511,SL,buy,-694.3889999999956
2024-06-12 12:00:00+00:00,67704.7,68381.747,SL,sell,-677.0470000000059
2024-06-13 15:00:00+00:00,67299.9,66626.901,SL,buy,-672.9989999999962
2024-06-16 09:00:00+00:00,66233.4,66895.734,SL,sell,-662.3340000000026
2024-06-17 03:00:00+00:00,66307.3,65644.227,SL,buy,-663.073000000004
2024-06-17 18:00:00+00:00,66560.0,67225.6,SL,sell,-665.6000000000058
2024-06-21 07:00:00+00:00,64638.0,63991.62,SL,buy,-646.3799999999974
2024-06-23 00:00:00+00:00,64246.4,64272.0,,sell,-25.599999999998545
2024-06-23 14:00:00+00:00,64272.0,63629.28,SL,buy,-642.7200000000012
2024-06-25 18:00:00+00:00,61318.6,61931.786,SL,sell,-613.1860000000015
2024-06-26 18:00:00+00:00,61129.3,61304.5,,buy,175.1999999999971
2024-06-27 13:00:00+00:00,61304.5,61917.545,SL,sell,-613.0449999999983
2024-06-28 14:00:00+00:00,61351.7,60738.183,SL,buy,-613.5169999999998
2024-06-30 07:00:00+00:00,61009.6,61619.695999999996,SL,sell,-610.0959999999977
2024-07-02 14:00:00+00:00,62640.9,62014.491,SL,buy,-626.4089999999997
2024-07-06 13:00:00+00:00,56778.9,57346.689,SL,sell,-567.788999999997
2024-07-07 13:00:00+00:00,57338.7,56765.312999999995,SL,buy,-573.3870000000024
2024-07-10 04:00:00+00:00,58211.7,58793.816999999995,SL,sell,-582.1169999999984
2024-07-17 16:00:00+00:00,64635.3,63988.947,SL,buy,-646.3530000000028
2024-07-19 13:00:00+00:00,64407.0,65051.07,SL,sell,-644.0699999999997
2024-07-22 14:00:00+00:00,67020.3,66350.09700000001,SL,buy,-670.2029999999941
2024-07-24 14:00:00+00:00,66390.0,67053.9,SL,sell,-663.8999999999942
2024-07-24 22:00:00+00:00,65646.8,64990.332,SL,buy,-656.4680000000008
2024-07-25 20:00:00+00:00,64655.6,65302.156,SL,sell,-646.5560000000041
2024-07-28 04:00:00+00:00,67977.0,67297.23,SL,buy,-679.7700000000041
2024-07-29 00:00:00+00:00,68268.4,68951.08399999999,SL,sell,-682.6839999999938
2024-07-29 16:00:00+00:00,68003.2,67323.16799999999,SL,buy,-680.0320000000065
2024-07-31 17:00:00+00:00,66300.9,66528.2,,sell,-227.3000000000029
2024-07-31 19:00:00+00:00,66528.2,65862.91799999999,SL,buy,-665.2820000000065
2024-08-08 14:00:00+00:00,57287.0,57859.87,SL,sell,-572.8700000000026
2024-08-11 11:00:00+00:00,60980.5,60370.695,SL,buy,-609.8050000000003
2024-08-12 14:00:00+00:00,57946.0,58525.46,SL,sell,-579.4599999999991
2024-08-14 13:00:00+00:00,61058.4,60447.816,SL,buy,-610.5840000000026
2024-08-15 13:00:00+00:00,58670.5,59257.205,SL,sell,-586.7050000000017
2024-08-15 19:00:00+00:00,57765.5,57187.845,SL,buy,-577.6549999999988
2024-08-16 17:00:00+00:00,58502.4,59087.424,SL,sell,-585.0239999999976
2024-08-18 23:00:00+00:00,59337.1,58743.729,SL,buy,-593.3709999999992
2024-08-19 23:00:00+00:00,59206.7,59798.767,SL,sell,-592.0670000000027
2024-08-24 21:00:00+00:00,64017.6,64191.6,,buy,174.0
