timestamp,buyprice,tp/sl,direction,pnl
2024-08-15 09:00:00+00:00,58315.5,SL,buy,-583.1549999999988
2024-08-15 22:00:00+00:00,57507.7,TP,buy,1725.2309999999998
2024-08-16 22:00:00+00:00,59075.1,SL,buy,-590.7510000000038
2024-08-19 10:00:00+00:00,58010.9,TP,buy,1740.3270000000048
2024-08-20 01:00:00+00:00,60488.9,SL,buy,-604.8890000000029
2024-08-20 16:00:00+00:00,58745.1,TP,buy,1762.3530000000028
2024-08-21 21:00:00+00:00,61147.0,SL,buy,-611.4700000000012
2024-08-22 06:00:00+00:00,60678.0,SL,buy,-606.7799999999988
2024-08-22 19:00:00+00:00,60328.0,TP,buy,1809.8400000000038
2024-08-23 20:00:00+00:00,63566.4,SL,buy,-635.663999999997
2024-08-27 12:00:00+00:00,62350.0,SL,buy,-623.5
2024-08-27 19:00:00+00:00,62042.4,SL,buy,-620.4239999999991
2024-08-28 02:00:00+00:00,59358.8,SL,buy,-593.5880000000034
2024-08-28 12:00:00+00:00,59860.3,SL,buy,-598.6030000000028
2024-08-28 22:00:00+00:00,59126.6,TP,buy,1773.7980000000025
2024-08-29 15:00:00+00:00,60800.0,SL,buy,-608.0
2024-08-29 21:00:00+00:00,59456.5,SL,buy,-594.5650000000023
2024-08-30 01:00:00+00:00,59146.3,SL,buy,-591.4630000000034
2024-08-30 21:00:00+00:00,59004.3,SL,buy,-590.0429999999978
2024-09-01 03:00:00+00:00,58482.5,SL,buy,-584.8249999999971
2024-09-01 17:00:00+00:00,58109.0,SL,buy,-581.0900000000038
2024-09-01 23:00:00+00:00,57299.9,TP,buy,1718.997000000003
2024-09-03 04:00:00+00:00,59090.1,SL,buy,-590.900999999998
2024-09-03 16:00:00+00:00,57715.1,SL,buy,-577.150999999998
2024-09-04 03:00:00+00:00,56585.4,TP,buy,1697.561999999998
2024-09-04 20:00:00+00:00,58000.0,SL,buy,-580.0
2024-09-05 05:00:00+00:00,57188.4,SL,buy,-571.8839999999982
2024-09-05 10:00:00+00:00,56735.8,SL,buy,-567.3580000000002
2024-09-05 20:00:00+00:00,56020.3,SL,buy,-560.2030000000013
2024-09-06 08:00:00+00:00,55772.0,SL,buy,-557.7200000000012
2024-09-06 16:00:00+00:00,54022.8,SL,buy,-540.2280000000028
2024-09-07 00:00:00+00:00,53912.4,TP,buy,1617.372000000003
2024-09-09 18:00:00+00:00,56528.1,SL,buy,-565.2810000000027
2024-09-12 06:00:00+00:00,57915.2,SL,buy,-579.1520000000019
2024-09-12 15:00:00+00:00,57434.7,TP,buy,1723.0410000000047
2024-09-13 19:00:00+00:00,59721.0,SL,buy,-597.2099999999991
2024-09-16 08:00:00+00:00,58872.7,SL,buy,-588.726999999999
2024-09-16 22:00:00+00:00,58026.0,TP,buy,1740.7799999999988
2024-09-17 23:00:00+00:00,60154.5,SL,buy,-601.5449999999983
2024-09-18 14:00:00+00:00,59429.0,TP,buy,1782.8700000000026
2024-09-18 21:00:00+00:00,60263.0,TP,buy,1807.8899999999994
2024-09-19 04:00:00+00:00,62090.6,TP,buy,1862.7180000000008
2024-09-20 05:00:00+00:00,63774.5,SL,buy,-637.7450000000026
2024-09-20 12:00:00+00:00,63413.0,SL,buy,-634.1299999999974
2024-09-20 20:00:00+00:00,62845.9,TP,buy,1885.3770000000004
2024-09-23 08:00:00+00:00,63519.6,SL,buy,-635.1960000000036
2024-09-24 01:00:00+00:00,62850.1,TP,buy,1885.5030000000042
2024-09-25 02:00:00+00:00,64429.9,SL,buy,-644.2989999999991
2024-09-25 07:00:00+00:00,63797.0,SL,buy,-637.9700000000012
2024-09-26 11:00:00+00:00,64412.8,TP,buy,1932.3840000000055
2024-09-27 18:00:00+00:00,65890.7,SL,buy,-658.9069999999992
2024-10-01 02:00:00+00:00,63375.4,SL,buy,-633.7540000000008
2024-10-01 15:00:00+00:00,62545.5,SL,buy,-625.4550000000017
2024-10-01 15:06:00+00:00,62013.3,SL,buy,-620.1330000000016
2024-10-01 23:00:00+00:00,60707.8,SL,buy,-607.0780000000013
2024-10-02 22:00:00+00:00,60757.3,SL,buy,-607.573000000004
2024-10-03 21:00:00+00:00,60794.0,TP,buy,1823.8199999999997
